date,high,low,open,close,volume
2018-01-01 00:00:00+05:30,317.75,311.3,315.5,312.6,4019878
2018-01-02 00:00:00+05:30,314,307.15,313.4,311.65,5224976
2018-01-03 00:00:00+05:30,316.5,311.15,312,315.85,5672263
2018-01-04 00:00:00+05:30,318.4,313,316,317.1,5667580
2018-01-05 00:00:00+05:30,337.9,317.45,317.5,332.85,30720675
2018-01-08 00:00:00+05:30,341.3,331.3,336,333.6,12747890
2018-01-09 00:00:00+05:30,342.8,327.55,334.9,341.35,13282560
2018-01-10 00:00:00+05:30,342.35,335.45,341.5,339.8,10385044
2018-01-11 00:00:00+05:30,344.25,335.3,339,343.15,8266266
2018-01-12 00:00:00+05:30,344.7,337.55,344.1,340.9,5688676
2018-01-15 00:00:00+05:30,343.7,335.1,341.9,336,7142164
2018-01-16 00:00:00+05:30,338.75,328,336,334.85,7296505
2018-01-17 00:00:00+05:30,343.5,331.4,335.1,342.4,7985222
2018-01-18 00:00:00+05:30,356.9,332.35,350,341.2,35465087
2018-01-19 00:00:00+05:30,352.25,339.1,347.5,349.35,21425789
2018-01-22 00:00:00+05:30,358.25,348.75,349.95,355.35,13456538
2018-01-23 00:00:00+05:30,360.4,352.3,359.85,359.55,10196645
2018-01-24 00:00:00+05:30,366.3,356,357,364.8,11258771
2018-01-25 00:00:00+05:30,364.5,355.65,364.5,361.6,8963188
2018-01-29 00:00:00+05:30,363.7,355.55,361.2,358,7931235
2018-01-30 00:00:00+05:30,360.8,351.85,358,353.35,7890491
2018-01-31 00:00:00+05:30,356.55,350.45,353,354.4,8527044
2018-02-01 00:00:00+05:30,367.25,352.65,355,359.9,15217926
2018-02-02 00:00:00+05:30,356,341.8,354.2,349.05,16298953
2018-02-05 00:00:00+05:30,349,333.6,340,343.6,13407059
2018-02-06 00:00:00+05:30,342.9,324,325,338.75,12557261
2018-02-07 00:00:00+05:30,344,330.6,344,332.9,11681640
2018-02-08 00:00:00+05:30,340.35,331.5,332.9,335,7785799
2018-02-09 00:00:00+05:30,331.45,324,330,325.55,9395513
2018-02-12 00:00:00+05:30,337.2,326.6,326.6,335.4,12049356
2018-02-14 00:00:00+05:30,337.85,318.95,336,320.35,13548524
2018-02-15 00:00:00+05:30,328.8,317.7,321.2,319.8,15482667
2018-02-16 00:00:00+05:30,325,309.65,324,311.8,18611798
2018-02-19 00:00:00+05:30,315,307.55,313.85,312.05,9311433
2018-02-20 00:00:00+05:30,316.1,307.5,314.35,308.7,11389041
2018-02-21 00:00:00+05:30,313.9,304.5,311,312.35,13342678
2018-02-22 00:00:00+05:30,316.9,308.15,311.9,316.1,14787238
2018-02-23 00:00:00+05:30,326,316.45,316.45,323.45,11399732
2018-02-26 00:00:00+05:30,328.2,319.35,326.5,326.15,9225197
2018-02-27 00:00:00+05:30,334.25,325,325.3,327.15,15104405
2018-02-28 00:00:00+05:30,325.2,318.05,323,322.3,10985771
2018-03-01 00:00:00+05:30,326,318.35,322.1,321.05,7333939
2018-03-05 00:00:00+05:30,319,311.15,318.5,312.95,7973146
2018-03-06 00:00:00+05:30,320.5,309.85,317,312.15,8299126
2018-03-07 00:00:00+05:30,314.9,308,312,311.95,8420190
2018-03-08 00:00:00+05:30,313.25,294.7,312.3,308.55,24027679
2018-03-09 00:00:00+05:30,310.95,301.3,310,303.25,11596136
2018-03-12 00:00:00+05:30,314.5,301.35,305.2,311.15,12860205
2018-03-13 00:00:00+05:30,315.4,309.8,310,312.8,11436348
