date,high,low,open,close,volume
2018-01-01 00:00:00+05:30,922.7,907.5,922.7,909.75,4321686
2018-01-02 00:00:00+05:30,919.55,906.4,913,911.15,4342815
2018-01-03 00:00:00+05:30,926,913.05,925,914.8,6175312
2018-01-04 00:00:00+05:30,921.8,915.7,918.15,920.3,4118581
2018-01-05 00:00:00+05:30,926.9,920.25,921.8,923.25,3401905
2018-01-08 00:00:00+05:30,931,923.5,926.1,928.55,4035417
2018-01-09 00:00:00+05:30,943.9,924,928.15,940.95,6534997
2018-01-10 00:00:00+05:30,947.4,935.5,943,942.35,5361502
2018-01-11 00:00:00+05:30,942.65,935,941.8,937.75,3588727
2018-01-12 00:00:00+05:30,952.8,938.25,943,949,6890028
2018-01-15 00:00:00+05:30,958.5,945.2,950,949.15,5084113
2018-01-16 00:00:00+05:30,947.7,920,947.7,922.95,4948895
2018-01-17 00:00:00+05:30,929,907,926,924.5,6036432
2018-01-18 00:00:00+05:30,929.6,915.1,929,919.7,4289053
2018-01-19 00:00:00+05:30,934.4,922.1,923,931.3,4559564
2018-01-22 00:00:00+05:30,974.3,940,948,971.5,20892838
2018-01-23 00:00:00+05:30,990.95,975,975,983.25,10298500
2018-01-24 00:00:00+05:30,981.75,962.65,981.75,966.35,6532672
2018-01-25 00:00:00+05:30,972,956.15,967.9,965.9,6249419
2018-01-29 00:00:00+05:30,977.3,959.3,966.2,964.5,4524605
2018-01-30 00:00:00+05:30,965.8,949,965.8,950.4,4198139
2018-01-31 00:00:00+05:30,964.5,941.55,950,961.3,5738209
2018-02-01 00:00:00+05:30,972.6,936.6,963.25,943.85,7554587
2018-02-02 00:00:00+05:30,943.95,901,935,904.35,13242095
2018-02-05 00:00:00+05:30,912.5,881.8,894,902.15,8773525
2018-02-06 00:00:00+05:30,898,871,877,892.1,11000567
2018-02-07 00:00:00+05:30,905.4,890,902.55,894.4,7100838
2018-02-08 00:00:00+05:30,910.65,892.35,897.9,904.55,6320734
2018-02-09 00:00:00+05:30,902,886,889,897.85,5294279
2018-02-12 00:00:00+05:30,918.2,902.05,903,915.5,5429792
2018-02-14 00:00:00+05:30,942.5,921,923,933.65,10170959
2018-02-15 00:00:00+05:30,945.75,928.15,937.65,935.65,6109454
2018-02-16 00:00:00+05:30,942.6,918.1,939.6,921.3,4401672
2018-02-19 00:00:00+05:30,932,913.55,921,927,4087936
2018-02-20 00:00:00+05:30,929.55,918.8,929,921.1,3866919
2018-02-21 00:00:00+05:30,932.5,922.15,930,929.35,5448230
2018-02-22 00:00:00+05:30,931,920,922,924.35,5118850
2018-02-23 00:00:00+05:30,938,922.75,925.4,934.25,4850839
2018-02-26 00:00:00+05:30,944.9,936.6,939,938.7,3856478
2018-02-27 00:00:00+05:30,955.8,938.35,939,950.5,6410097
2018-02-28 00:00:00+05:30,957.1,943.2,945.95,954.55,25898694
2018-03-01 00:00:00+05:30,959.9,945.95,949.75,948.4,4094652
2018-03-05 00:00:00+05:30,950.15,921.6,943,924.1,5634893
2018-03-06 00:00:00+05:30,936.2,905.1,929,910.85,7323680
2018-03-07 00:00:00+05:30,909.25,888.05,909.25,889.75,7247708
2018-03-08 00:00:00+05:30,914.5,893.3,897.65,911.45,6072983
